Date;Hour;Opinion
27.03.2022;04:45;Great connection quality even during rush hour
09.06.2022;18:38;I have been using for half a year and I am very happy
14.10.2022;00:44;Customer service deserves a medal always helpful and polite
30.06.2022;00:37;Prices are competitive and the value offered for this money is amazing
02.05.2022;16:40;The installation was fast and trouble -free
12.06.2022;12:14;The Internet works flawlessly regardless of the weather
18.04.2022;17:05;Amazing speeds I can't believe how quickly the pages are loading
06.09.2022;00:25;A very reliable combination ideal for remote work
26.03.2022;15:25;I always get what I pay for without any surprises
04.07.2022;23:13;The use of this service exceeded my expectations
10.05.2022;21:00;I had several problems but they solved them quickly and professionally
26.08.2022;02:54;Since I went to this internet, my online life is much easier
10.04.2022;08:51;I've never experienced such fast internet before
26.03.2022;19:30;Thanks to this internet provider, I can enjoy the game without interrupting the connection
11.10.2022;18:46;This internet works so smoothly that I don't even remember when I recently reset the router
07.07.2022;16:56;I am impressed by the speed and ease of installation
30.04.2022;19:38;Such positive experiences with the internet service are rare
07.03.2022;05:53;Thanks to this, suppliers streaming movies is now pure pleasure
04.12.2022;11:28;Compared to other suppliers, this one definitely stands out from the competition
07.05.2022;07:06;I really recommend it was not disappointed once
23.05.2022;11:15;This internet supplier is pure joy zero problems
30.03.2022;11:17;From the beginning of using their service, I had no connection problems
04.08.2022;04:02;I cannot be more satisfied with the speed and reliability of this internet
28.04.2022;12:51;The guaranteed speeds are always supplied and sometimes even exceeded
13.11.2022;01:56;Fast and simple process of installation registration and starting use
26.10.2022;02:16;The best internet supplier I was dealing with
09.12.2022;01:55;I love how easy I can contact customer service
08.01.2022;21:07;The best quality of the Internet I've ever had
26.08.2022;09:46;I really appreciate their quick and effective customer service
01.09.2022;23:32;I definitely recommend this internet to anyone who is looking for a reliable connection
28.03.2022;09:19;From the moment of switching to this internet, my call problems have disappeared
05.04.2022;12:50;In the end I can enjoy a smooth combination during a video conference
20.08.2022;01:57;This internet exceeds everything I have had so far
31.01.2022;15:55;As a player, I am impressed by the stability and connection speed
15.12.2022;23:50;This connection is so reliable that I forgot what the lack of the internet looks like
13.12.2022;12:17;Thanks to this service, I can easily work and learn remotely
23.07.2022;19:02;This is the biggest upgrade of the Internet I've ever experienced
17.10.2022;04:40;I can always rely on this Internet regardless of what I do online
20.09.2022;13:18;This internet service is incredibly stable and fast
11.11.2022;15:41;Undoubtedly, the best internet service I have ever used
02.09.2022;03:57;The service is good but it could be cheaper
05.12.2022;01:47;The internet works well, although I had a few call problems
21.10.2022;15:51;Overall, I am satisfied, although sometimes the speed decreases
16.12.2022;01:20;Customer service could be a bit more helpful
02.04.2022;03:29;The internet is fine but the installation was a bit complicated
02.12.2022;10:56;The service is solid but does not stand out from other suppliers
26.09.2022;17:47;The internet speed is good although I had higher expectations
